"Gene","Healthy_vs_AChR_MG","Healthy_vs_SNMG_Pre","SNMG_Pre_vs_SNMG_Post"
"RPS26",1,1,0
"CD83",1,1,0
"JUND",1,1,1
"CD79B",1,0,0
"ACTR3",1,0,0
"ARL6IP5",1,0,0
"PSMB9",1,0,0
"KIAA0040",1,0,0
"RAC2",1,0,0
"GRASP",1,0,0
"AL139020.1",1,0,0
"MTRNR2L1",1,1,1
"PELI1",1,1,0
"TRAF3IP3",1,0,0
"AHSA1",1,0,0
"RNASE6",1,1,0
"STX7",1,0,0
"C1orf162",1,1,0
"LSM10",1,0,0
"CNTNAP2",1,0,0
"HSPA8",1,1,0
"PRDX1",1,0,0
"ARHGAP24",1,0,0
"GAPT",1,0,0
"HNRNPF",1,0,0
"SPIB",1,0,0
"NASP",1,0,0
"DYNLL1",1,0,0
"LYSMD2",1,0,0
"PLEKHF2",1,0,0
"SNX9",1,0,0
"LAT2",1,0,0
"S1PR4",1,0,0
"PLEKHO1",1,1,0
"PSMB10",1,0,0
"GLRX",1,1,0
"PPP4C",1,1,0
"APOBEC3G",1,1,0
"APBB1IP",1,0,0
"RSBN1L",1,0,0
"CSK",1,0,0
"LMAN2",1,0,0
"SSNA1",1,0,0
"FCRLA",1,0,0
"NCOR1",1,0,0
"IFI30",1,0,0
"BACH1",1,0,0
"CCDC32",1,0,0
"IRF2",1,0,0
"CAPG",1,0,0
"METTL7A",1,0,0
"EPSTI1",1,1,0
"CDK2AP2",1,0,0
"ARHGAP45",1,0,0
"SNX17",1,0,0
"NFKBID",1,0,0
"SAMD9",1,1,0
"DDX58",1,0,0
"COA3",1,0,0
"HLA-DRB1",0,1,0
"FOSB",0,1,1
"FKBP5",1,1,1
"IGHA1",0,1,0
"IGHD",0,1,0
"TXNIP",1,1,0
"LINC01781",0,1,0
"DDIT4",0,1,0
"AC020916.1",0,1,1
"ZFP36L2",1,1,1
"WEE1",0,1,0
"BCL7A",0,1,0
"HLA-DQB1",0,1,0
"ZBTB16",0,1,1
"TCL1A",0,1,0
"MYADM",0,1,1
"LGALS1",1,1,0
"CRIP1",0,1,0
"MIDN",1,1,0
"AHNAK",0,1,0
"VIM",0,1,0
"DAAM1",0,1,0
"MEF2C",0,1,0
"FOXP1",0,1,0
"SELL",0,1,0
"FOS",0,1,1
"TNFRSF13B",0,1,0
"IGHA2",0,1,0
"SOCS1",0,1,1
"HLA-DMA",0,1,0
"IDS",0,1,0
"SSPN",0,1,0
"HIPK2",0,1,0
"LMNA",0,1,1
"BLK",0,1,0
"SMDT1",0,1,0
"COCH",0,1,0
"AFF3",0,1,0
"PRDM1",0,1,0
"CLEC2D",0,1,0
"APLP2",0,1,0
"CDKN1A",0,1,1
"CFLAR",0,1,0
"IGHG1",0,1,0
"PLPP5",0,1,0
"SESN1",0,1,1
"S100A10",0,1,0
"AIM2",0,1,0
"LIME1",0,1,0
"FAM111B",0,1,0
"ADGRE5",0,1,0
"IGHG2",0,1,0
"PPP1R15A",0,1,1
"LINC00926",0,1,0
"DUSP2",0,1,0
"CLECL1",1,1,0
"RGS1",0,1,0
"GAPDH",0,1,0
"TAGAP",1,1,1
"TSTD1",0,1,0
"C16orf54",0,1,0
"ELL2",0,1,0
"KLF10",0,1,1
"VOPP1",0,1,0
"TUBB6",0,1,0
"PTPN18",0,1,0
"TOR3A",0,1,0
"TMEM123",0,1,0
"ANXA2",0,1,0
"VASP",0,1,0
"TMEM238",0,1,0
"H1FX",0,1,0
"RILPL2",0,1,0
"CRIP2",0,1,0
"SAMSN1",1,1,1
"SRGN",0,1,1
"CASP8",0,1,0
"MARCKS",0,1,0
"ARL4A",0,1,0
"IFT57",0,1,0
"FAM102A",0,1,0
"SNHG16",0,1,0
"FCER2",0,1,0
"RTN4",0,1,0
"SMARCB1",0,1,0
"PLP2",0,1,0
"GPR183",0,1,0
"CSGALNACT1",0,1,0
"CD27",0,1,0
"TLE3",0,1,0
"IGHG4",0,1,0
"BHLHE41",0,1,0
"SH3GLB2",0,1,0
"S100A4",0,1,0
"CCDC107",0,1,0
"GSPT1",0,1,0
"RAD50",0,1,0
"NUP210",0,1,0
"PPBP",0,1,0
"ELOA",0,1,0
"IFI44L",1,1,0
"TUBB",0,1,0
"ITGB2",0,1,0
"ATP1B3",0,1,0
"OSBPL10",0,1,0
"HAGHL",0,1,0
"POU2AF1",0,1,0
"HSPD1",0,1,0
"DOCK10",0,1,0
"AL121944.1",0,1,0
"TIPARP",0,1,1
"AC044849.1",0,1,0
"TXNDC5",0,1,0
"PF4",1,1,0
"TXN",0,1,0
"NUFIP2",0,1,0
"FCRL3",0,1,0
"TFEB",0,1,0
"CRYBG1",0,1,0
"SYNRG",0,1,0
"CSRNP1",0,1,1
"TKT",0,1,0
"CBFA2T3",0,1,0
"ZNF331",1,1,1
"XRRA1",0,1,0
"PLCG2",0,1,0
"BACH2",0,1,0
"TP53INP1",0,1,0
"ARL2",0,1,0
"MPHOSPH9",0,1,0
"NR4A2",0,1,1
"AREG",1,1,1
"IRS2",1,1,1
"ACOX1",1,0,0
"HBB",0,1,0
"XAF1",1,1,0
"MX2",0,1,0
"IFI44",1,1,0
"RSAD2",1,1,0
"EIF2AK2",1,1,0
"MX1",1,1,0
"FOSL2",1,1,0
"HSH2D",0,1,0
"MCTP2",0,0,1
"SYTL3",1,1,1
"PAG1",0,0,1
"BIRC3",0,1,1
"SAT1",0,0,1
"SRSF5",1,0,0
"TMBIM6",1,0,0
"GIMAP4",1,0,1
"S100A11",1,1,0
"CISH",1,0,0
"TRMT112",1,0,0
"GBP1",1,0,0
"CCT5",1,0,0
"DNAJA1",1,0,1
"PSMB8",1,0,0
"ACAP1",1,0,0
"TNFSF10",1,0,0
"TMEM35B",1,0,0
"ICAM2",1,0,0
"ORAI1",1,0,0
"SUSD3",1,0,0
"SPN",1,0,0
"GIMAP1",1,0,0
"JPT1",1,0,0
"GBP4",1,0,0
"DNMT1",1,0,0
"EGLN2",1,0,0
"TSC22D3",0,1,1
"LTB",0,1,1
"TNFAIP3",1,1,1
"CXCR4",0,1,0
"JUN",0,1,1
"DUSP1",0,1,0
"CD69",0,1,1
"NRGN",0,1,0
"NDFIP1",0,1,0
"CELF2",0,1,0
"IFITM1",0,1,1
"CCNL1",0,1,1
"FBXO32",1,1,1
"KLF9",0,1,0
"FBLN5",0,1,0
"TNFSF8",0,1,0
"YPEL5",0,1,1
"GNG11",0,1,0
"GP1BB",0,1,0
"IL6ST",0,1,0
"IPCEF1",0,1,0
"CDKN2D",0,1,0
"PTGER4",0,1,0
"CCR7",0,0,1
"DCTN6",0,0,1
"CDC37L1",0,0,1
"IER5",0,0,1
"KLRK1",1,0,0
"HSPE1",1,0,0
"IGKC",1,0,0
"PASK",1,1,0
"DENND2D",1,0,0
"LINC00402",1,0,0
"CTSW",1,0,0
"DYNLT1",1,0,1
"NFKBIA",1,1,1
"MRPS6",1,0,0
"DSEL",0,1,0
"HBA2",0,1,0
"LINC01138",0,1,0
"S100B",0,1,0
"LBR",1,1,0
"CARS",0,1,0
"HBA1",0,1,0
"MT-ND3",0,0,1
"PIK3IP1",0,1,1
"SATB1",0,0,1
"ARID5A",0,0,1
"GGNBP2",0,0,1
"GPR132",0,0,1
"USP3",0,0,1
"SF3B1",0,0,1
"BCL2L11",0,0,1
"CIAPIN1",0,0,1
"HPGD",0,0,1
"SC5D",0,0,1
"CCR2",1,0,0
"NAGK",1,0,0
"ABI3",1,0,0
"BAZ1A",1,0,0
"NIPBL",1,0,0
"RGS14",1,0,0
"DEGS1",1,0,0
"GPN3",1,0,0
"IL6R",1,0,0
"CD300A",1,0,0
"TMEM176B",1,0,1
"FEZ2",1,0,0
"NUP214",1,0,0
"P2RY13",1,1,0
"TNFAIP8L2",1,0,0
"CES1",1,1,0
"TRIP11",1,0,0
"APAF1",1,0,0
"DHRS4",1,0,0
"UNC50",1,0,0
"PIK3R1",1,1,0
"DAXX",1,0,0
"TMEM223",1,0,0
"ROCK2",1,0,0
"NDUFA8",1,0,0
"CX3CR1",1,0,0
"AC004556.3",1,0,0
"CWC22",1,0,0
"ISCA2",1,0,0
"NIT1",1,0,0
"PUS3",1,0,0
"VAV1",1,0,0
"PSTPIP1",1,0,0
"PDK4",1,1,0
"SAP30",0,1,0
"SRGAP1",0,1,0
"HLA-DRB5",1,1,0
"SMAP2",0,1,1
"GLUL",0,1,1
"ISG20",0,1,0
"PLIN2",0,1,0
"STAT1",0,1,0
"SH3BP5",0,1,1
"CD163",0,1,0
"MT2A",1,1,0
"CLEC4E",0,1,0
"SLA",0,1,1
"ISG15",1,1,0
"ATF3",0,1,1
"PICK1",0,1,0
"CBX6",0,1,0
"ID1",0,1,1
"MAFF",0,1,1
"IL1R2",0,1,1
"PER1",0,1,1
"IFNGR1",1,1,1
"KLF6",1,1,1
"ACSL1",0,1,0
"ID2",0,1,0
"OAS2",1,1,0
"SCO2",0,1,0
"IFI6",1,1,0
"FRAT1",0,1,0
"MIR181A1HG",0,1,0
"EREG",0,1,0
"DEPTOR",0,1,0
"LCP2",0,1,0
"FAM107B",0,1,0
"GCLC",0,1,0
"KLF4",0,1,1
"SP110",0,1,0
"NINJ1",0,1,1
"IRAK3",0,1,1
"AC144652.1",0,1,0
"SAMD9L",0,1,0
"ANKRD28",0,1,0
"CEBPD",0,1,0
"CEACAM4",0,1,0
"CHKA",0,1,0
"CLN8",0,1,0
"BATF3",0,1,0
"RGCC",0,1,0
"CCNH",0,1,0
"ZFAND5",0,1,0
"PNP",0,1,0
"HERC5",1,1,0
"TMEM156",0,1,0
"SIRT1",0,1,0
"SERTAD1",0,1,0
"PSTPIP2",0,1,0
"LDLRAD3",0,1,0
"NR4A3",0,0,1
"ENPP4",0,0,1
"PHLDA2",0,0,1
"ST3GAL1",0,0,1
"ETV3",0,0,1
"MYL4",1,1,0
"TMEM176A",1,0,1
"AC020656.1",1,0,0
"HSPA1A",1,0,0
"JDP2",0,1,1
"PHC2",0,1,1
"ADAMTS2",0,1,0
"HMGB2",0,1,0
"TMSB4X",0,1,0
"PTP4A2",0,1,0
"LY6E",1,1,0
"FLT3",0,1,0
"AP001189.1",0,1,0
"IFIT3",1,1,0
"CLU",0,1,0
"OAS3",1,1,0
"CAVIN2",0,1,0
"CMPK2",1,1,0
"BLVRB",0,1,0
"AL118516.1",0,1,1
"ANXA1",0,1,0
"CCL5",0,1,0
"VCL",0,1,0
"CCR1",0,1,0
"PARP14",0,1,0
"PKP2",0,1,0
"TUBB1",0,1,0
"TPM4",0,1,0
"CPM",0,1,0
"NFIA",0,1,0
"HERPUD1",0,1,0
"CSGALNACT2",0,1,0
"NUDT16",0,1,0
"C19orf33",0,1,0
"SLC31A2",0,1,0
"TGFB1",0,1,0
"NAP1L1",0,1,0
"RNF144B",0,1,0
"FMN1",0,1,0
"APOBEC3A",0,1,0
"CD300E",0,1,0
"HMGB1",0,1,0
"PLEKHO2",0,1,1
"PLEK",1,1,1
"RHOU",0,1,0
"MARCH2",0,1,0
"LYN",0,1,0
"TLN1",0,1,0
"LDLR",0,1,1
"KLF2",0,1,1
"ETS2",0,1,0
"AGFG1",0,1,0
"OST4",0,1,0
"TMEM40",0,1,0
"EGR1",0,1,0
"RGS18",0,1,0
"RAP1B",0,1,0
"MAP3K8",1,1,0
"CMTM5",0,1,0
"MYL9",0,1,0
"PPDPF",0,1,0
"ITGB3",0,1,0
"ADAR",0,1,0
"F13A1",0,1,0
"C15orf39",0,1,0
"TYMP",0,1,0
"IAH1",0,1,0
"NAB2",0,0,1
"C3AR1",0,0,1
"TMCC3",0,0,1
"CRK",0,0,1
"B3GNT5",0,0,1
"IFNGR2",0,0,1
"IL1RAP",0,0,1
"CCDC71L",0,0,1
"ASPH",0,0,1
"BHLHE40",0,0,1
"METRNL",1,1,1
"TUT7",0,0,1
"LINC00877",0,0,1
"AL034397.3",0,0,1
"XPO1",0,0,1
