"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"ADAMTS2",1,1,-5.41451874608196,-5.41451874608196,5.41451874608196,5.41451874608196,0.0000000000000733818828417343,0.0000000000000733818828417343,"Cell-type-specific"
"MYL4",1,2,5.07134215957786,5.07134215957786,5.07134215957786,6.38429876505954,0.000000000256267704369682,0.00566920904690885,"Cell-type-specific"
"IFIT1",1,2,3.41655443007259,3.41655443007259,3.41655443007259,5.12520620724922,0.000000000000000000000000487477534501793,0.0000000000000000612546499349543,"Cell-type-specific"
"DAAM2",1,1,-3.33655065844612,-3.33655065844612,3.33655065844612,3.33655065844612,0.000113697920436804,0.000113697920436804,"Cell-type-specific"
"OASL",1,1,3.23036890755062,3.23036890755062,3.23036890755062,3.23036890755062,0.000000105537438233592,0.000000105537438233592,"Cell-type-specific"
"IFIT2",1,2,2.60768000701492,2.60768000701492,2.60768000701492,3.88302561126687,0.0000000000000000000000000996647965045848,0.00000000875824732047595,"Cell-type-specific"
"TRIM22",1,1,2.58613562296789,2.58613562296789,2.58613562296789,2.58613562296789,0.0000184467750627659,0.0000184467750627659,"Cell-type-specific"
"IGHG4",1,1,-2.56623044912162,-2.56623044912162,2.56623044912162,2.56623044912162,0.00329667732899976,0.00329667732899976,"Cell-type-specific"
"FLT3",1,1,-2.55563283540162,-2.55563283540162,2.55563283540162,2.55563283540162,0.0000000508545565539614,0.0000000508545565539614,"Cell-type-specific"
"IFIT5",1,2,2.55036951852644,2.55036951852644,2.55036951852644,3.76856904890702,0.0000000791136663915375,0.000040341826743994,"Cell-type-specific"
"ID1",1,2,-0.28164540906435,-0.28164540906435,2.52748804348437,2.80913345254872,0.000000628504885649984,0.0226510105980824,"Cell-type-specific"
"AC007952.4",1,1,-2.29968542353154,-2.29968542353154,2.29968542353154,2.29968542353154,0.00454721962402363,0.00454721962402363,"Cell-type-specific"
"IL18R1",1,1,-2.27373322999972,-2.27373322999972,2.27373322999972,2.27373322999972,0.00000000000000165311370774747,0.00000000000000165311370774747,"Cell-type-specific"
"NR4A3",1,1,2.25468559483146,2.25468559483146,2.25468559483146,2.25468559483146,0.000000114817169571487,0.000000114817169571487,"Cell-type-specific"
"PLSCR1",1,1,2.24661854125906,2.24661854125906,2.24661854125906,2.24661854125906,0.00000350614158428622,0.00000350614158428622,"Cell-type-specific"
"WEE1",1,1,-2.21432622540732,-2.21432622540732,2.21432622540732,2.21432622540732,0.00000000000000017895917866084,0.00000000000000017895917866084,"Cell-type-specific"
"CCL3L1",1,2,2.19272772566281,2.19272772566281,2.19272772566281,2.51711881406348,0.000000000000000000000146843440182853,0.00000000000000000965622697094109,"Cell-type-specific"
"ZCCHC2",1,1,2.19090946384856,2.19090946384856,2.19090946384856,2.19090946384856,0.000410963399726903,0.000410963399726903,"Cell-type-specific"
