"Field","Value"
"Dataset accession","GSE227835"
"Analysis level","Cell-type-resolved differential-expression integration"
"Number of analysed cell types","10"
"Analysed cell types","B cells; Basophils; CD4 T cells; CD8 T cells; Dendritic cells; Monocytes; Neutrophils; NK cells; Progenitors; T cells"
"Number of disease comparisons","3"
"Disease comparisons","Healthy_vs_AChR_MG; Healthy_vs_SNMG_Pre; SNMG_Pre_vs_SNMG_Post"
"Adjusted P-value threshold","0.05"
"Absolute log2FC threshold","0.5"
"Significant DEG entries","1021"
"Unique significant genes","598"
"Recurrence definition","Number of analysed cell types in which a gene passes adjusted P < 0.05 and |avg_log2FC| >= 0.5"
"Recurrence heatmap selection","Top recurrent genes ranked by cell-type frequency, comparison frequency, effect size and adjusted P value; maximum 50 displayed"
"Conserved-signature definition","Significant DEG recurrent in at least 3 analysed cell types"
"Conserved-signature ranking","Mean absolute log2FC x cell-type frequency x comparison frequency x -log10(minimum adjusted P)"
"Heatmap colour interpretation","Binary recurrence: white = absent, blue = present; effect-size heatmap: blue = negative log2FC, white = near zero, red = positive log2FC, grey = no significant gene-cell-type observation"
