"CellType","Comparison","Downregulated","Upregulated","Total_Significant_DEGs","Percent_Up","Percent_Down","Net_Direction_Score","Direction_Bias","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Mean_Up_Log2FC","Mean_Down_Log2FC","Max_Up_Log2FC","Strongest_Down_Log2FC","Transcriptional_Perturbation_Score","Upregulation_Score","Downregulation_Score"
"B cells","Healthy_vs_AChR_MG",50,9,59,15.2542372881356,84.7457627118644,-0.694915254237288,"Predominantly downregulated",-0.467086883629592,-0.631611788242707,0.775753923725799,1.01174196475979,-0.733276076339681,1.67027316742188,-1.94066508694848,3.17620385922918,2.32962196601239,2.88311367281588
"B cells","Healthy_vs_SNMG_Pre",107,30,137,21.8978102189781,78.1021897810219,-0.562043795620438,"Predominantly downregulated",-0.752333575207258,-0.832294258780447,1.12621237287596,0.853689921343542,-1.20262053685702,2.10871225304987,-6.14574021499246,5.54913406452273,2.93156026649166,5.63082716999913
"B cells","SNMG_Pre_vs_SNMG_Post",0,7,7,100,0,1,"Predominantly upregulated",2.29660764216257,2.36207196763858,2.29660764216257,2.29660764216257,NA,3.34485548723231,NA,4.77566133605223,4.77566133605223,0
"Basophils","Healthy_vs_AChR_MG",0,5,5,100,0,1,"Predominantly upregulated",1.42683373973875,1.36191870375631,1.42683373973875,1.42683373973875,NA,2.33584038838961,NA,2.55654286419099,2.55654286419099,0
"Basophils","Healthy_vs_SNMG_Pre",2,10,12,83.3333333333333,16.6666666666667,0.666666666666667,"Predominantly upregulated",1.87789089381724,1.71686108622101,2.6216216969934,2.69970755448638,-2.2311924095285,5.43593936105032,-2.56829449907208,6.72432688721045,6.47361598284095,2.45121539949102
"Basophils","SNMG_Pre_vs_SNMG_Post",6,0,6,0,100,-1,"Predominantly downregulated",-0.874993578816139,-0.843701698655497,0.874993578816139,NA,-0.874993578816139,NA,-1.38160631282578,1.70265888537656,0,1.70265888537656
"CD4 T cells","Healthy_vs_AChR_MG",27,1,28,3.57142857142857,96.4285714285714,-0.928571428571429,"Predominantly downregulated",-0.714727734996272,-0.762606926995635,0.855933969534965,1.97688728354169,-0.814417180127308,1.97688728354169,-1.70213981829466,2.88218288635886,1.37027384687173,2.71380460078439
"CD4 T cells","Healthy_vs_SNMG_Pre",28,9,37,24.3243243243243,75.6756756756757,-0.513513513513513,"Predominantly downregulated",-0.881088409888298,-0.849842355888281,1.35768818184224,0.979677309016427,-1.4791916766791,2.16146338383598,-5.17225205991058,4.93870773949339,2.25579036768575,4.98087596463224
"CD4 T cells","SNMG_Pre_vs_SNMG_Post",5,5,10,50,50,0,"Mixed / balanced",0.4525510665716,0.225633801662926,1.16782622556665,1.62037729213825,-0.715275158995046,2.04338579097536,-1.15089596279484,2.80032498573623,2.90332635691082,1.28160103923298
"CD8 T cells","Healthy_vs_AChR_MG",12,6,18,33.3333333333333,66.6666666666667,-0.333333333333333,"Predominantly downregulated",-0.262493695529165,-0.576898041489135,0.84151758521655,0.868535834531078,-0.828008460559286,1.36598647394616,-1.78614858233868,2.47779717956563,1.69009269523225,2.12379976888426
"CD8 T cells","Healthy_vs_SNMG_Pre",13,4,17,23.5294117647059,76.4705882352941,-0.529411764705882,"Predominantly downregulated",-0.477309040920838,-0.67604089983309,1.14137544705345,1.4111411130318,-1.05837062675242,3.65366116105577,-1.78074146030801,3.2989993573194,2.27114400710783,2.79310075998046
"CD8 T cells","SNMG_Pre_vs_SNMG_Post",20,1,21,4.76190476190476,95.2380952380952,-0.904761904761905,"Predominantly downregulated",-0.776455136406782,-0.699298472173325,0.83442689675987,0.60870348370742,-0.845713067412493,0.60870348370742,-1.88294976716602,2.5792489621088,0.421921103528815,2.57479240961324
"Dendritic cells","Healthy_vs_AChR_MG",37,2,39,5.12820512820513,94.8717948717949,-0.897435897435897,"Predominantly downregulated",-0.652395508841039,-0.641949422242036,0.735828103713095,0.813467800002547,-0.731631363373125,1.1204444897857,-1.56827433186743,2.71438117354686,0.89368572151861,2.66137212142783
"Dendritic cells","Healthy_vs_SNMG_Pre",80,20,100,20,80,-0.6,"Predominantly downregulated",-0.810900828715582,-0.877106197859209,1.22454186163876,1.03410258230795,-1.27215168147146,3.20886747633893,-5.38094886625987,5.65140826938004,3.14834851474428,5.5904058812574
"Dendritic cells","SNMG_Pre_vs_SNMG_Post",6,13,19,68.4210526315789,31.5789473684211,0.368421052631579,"Predominantly upregulated",0.864585130436928,0.995818049507502,1.31089089130306,1.58977093896383,-0.706650788038034,3.15158932681253,-0.919119164578777,3.92707815018452,4.19549664888184,1.37507894028115
