"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"AL139020.1",0.000000000000204546454945905,-1.94066508694848,0.053,0.162,0.00000000748660479747507,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CNTNAP2",0.000000000158827284479918,-1.16604266471612,0.115,0.229,0.00000581323743924948,"B cells","Healthy_vs_AChR_MG","Downregulated"
"AHSA1",0.00000000000799077411049925,-1.15822566183536,0.114,0.238,0.000000292470323218383,"B cells","Healthy_vs_AChR_MG","Downregulated"
"RNASE6",0.00000000000880944168483845,-1.0582201396968,0.164,0.3,0.000000322434375106772,"B cells","Healthy_vs_AChR_MG","Downregulated"
"DDX58",0.00000128629735909952,-1.04545232939185,0.048,0.112,0.0470797696404017,"B cells","Healthy_vs_AChR_MG","Downregulated"
"GLRX",0.000000012740567182259,-1.03340530285004,0.119,0.219,0.000466317499437861,"B cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.000000000000789162783622892,-0.984607083646768,0.136,0.28,0.0000000288841470433815,"B cells","Healthy_vs_AChR_MG","Downregulated"
"IFI30",0.000000229732244290521,-0.978441800172383,0.145,0.238,0.00840842987327736,"B cells","Healthy_vs_AChR_MG","Downregulated"
"KIAA0040",0.0000000000000430021681043636,-0.950482146464414,0.273,0.437,0.00000000157392235478781,"B cells","Healthy_vs_AChR_MG","Downregulated"
"COA3",0.00000132070263555942,-0.909070698552197,0.088,0.164,0.0483390371641103,"B cells","Healthy_vs_AChR_MG","Downregulated"
"C1orf162",0.0000000000287161670485738,-0.835920802196215,0.232,0.381,0.00000105104043014485,"B cells","Healthy_vs_AChR_MG","Downregulated"
"S1PR4",0.00000000741404816831095,-0.825313321382163,0.214,0.33,0.000271361577008349,"B cells","Healthy_vs_AChR_MG","Downregulated"
"DYNLL1",0.00000000251511052778236,-0.801108234741044,0.236,0.361,0.0000920555604273621,"B cells","Healthy_vs_AChR_MG","Downregulated"
"LYSMD2",0.00000000310113595958944,-0.775310307035328,0.145,0.261,0.000113504677256933,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PPP4C",0.0000000177576158247134,-0.746934881317251,0.193,0.307,0.000649946496800336,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CISH",0.000000000462280506264054,-1.70213981829466,0.031,0.116,0.0000169199288097706,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"GBP1",0.0000000020515332152732,-1.30802147475567,0.081,0.186,0.0000750881672122145,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"EPSTI1",0.00000000163919627823679,-1.1454253196972,0.118,0.235,0.0000599962229797449,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"CDK2AP2",0.00000000180895562817029,-1.08292317809529,0.086,0.195,0.0000662095849466607,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"TMEM35B",0.0000000163819420271049,-1.07302412047055,0.108,0.216,0.000599595460134068,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"TNFSF10",0.0000000119214104193435,-1.05223566598318,0.105,0.213,0.000436335542758391,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.00000000247376079256932,-0.958815157198975,0.09,0.203,0.0000905421187688295,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"EGLN2",0.000000880324021698562,-0.947605530864793,0.078,0.163,0.0322207395181891,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"GBP4",0.000000271348320819432,-0.909627667182036,0.144,0.247,0.00993161989031202,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"TAGAP",0.00000000000203925015397861,-0.896273891723458,0.237,0.407,0.0000000746385948857712,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"DNAJA1",0.00000000445396289405859,-0.854032233130892,0.206,0.336,0.000163019495885438,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"CCT5",0.00000000318253474535806,-0.785909784041741,0.199,0.338,0.00011648395421485,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"ORAI1",0.0000000630751127903153,-0.781646901697326,0.163,0.282,0.00230861220323833,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"SUSD3",0.0000000749710932387492,-0.763573991495446,0.203,0.324,0.00274401698363146,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"ICAM2",0.0000000511430046328245,-0.761639862495825,0.197,0.321,0.00187188511256601,"CD4 T cells","Healthy_vs_AChR_MG","Downregulated"
"IGKC",0.000000000332808772919612,-1.78614858233868,0.067,0.162,0.0000121811338976307,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.000000000000000199575817386201,-1.43498684373932,0.083,0.229,0.00000000000730467449215235,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"LINC00402",0.00000013436013835684,-0.902449284528017,0.095,0.187,0.00491771542399869,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"C1orf162",0.0000000000444149819611135,-0.869646068458216,0.258,0.403,0.00000162563275475872,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"DENND2D",0.0000000635327456683458,-0.752628185995753,0.16,0.273,0.00232536202420713,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"PASK",0.00000000512832620909926,-0.679828970897813,0.217,0.349,0.000187701867579242,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"MRPS6",0.00000127009818640437,-0.642217278385898,0.235,0.339,0.0464868637205864,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"SRSF5",0.000000000000000000000000000000096388868160832,-0.610555487179005,0.891,0.962,0.00000000000000000000000000352792896355461,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP4",0.00000000000000305435004458223,-0.584079438228555,0.553,0.702,0.000000000111792265981754,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"KLRK1",0.0000000000000361329099973276,-0.569716644749715,0.625,0.769,0.00000000132250063881219,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"NASP",0.00000128335487099562,-0.568465093075508,0.222,0.328,0.0469720716333105,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"HSPE1",0.0000000000571003612254296,-0.535379649134947,0.501,0.632,0.00000208993032121195,"CD8 T cells","Healthy_vs_AChR_MG","Downregulated"
"TMEM176B",0.00000000109051578215642,-1.56827433186743,0.053,0.141,0.0000399139681427072,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"PUS3",0.000000549437355711151,-1.35188307124409,0.048,0.115,0.0201099566563838,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"AC004556.3",0.000000262969973348754,-1.33546441397416,0.054,0.125,0.00962496399453775,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"PDK4",0.00000134075064229595,-1.05817369844373,0.042,0.104,0.049072814258674,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CCR2",0.000000000000000515494267956029,-0.982396722843865,0.229,0.414,0.0000000000188676057014586,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"RGS14",0.00000000000270423800267577,-0.934455197486572,0.181,0.329,0.0000000989778151359358,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"ABI3",0.0000000000000235231105528533,-0.909960697039332,0.274,0.433,0.000000000860969369344982,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"GPN3",0.00000000019377321582409,-0.845846204169039,0.188,0.324,0.00000709229347237753,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CLECL1",0.00000000209508671147573,-0.817974711150143,0.186,0.315,0.0000766822687267232,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CX3CR1",0.000000218070049913801,-0.805225866612857,0.169,0.271,0.00798158189689503,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"NIT1",0.000000526800279229921,-0.804873390410555,0.155,0.252,0.0192814170200943,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
"CES1",0.0000000184488975761703,-0.803796895368095,0.139,0.25,0.000675248100185409,"Dendritic cells","Healthy_vs_AChR_MG","Downregulated"
