"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"GRASP",0.000000000000169623037321035,1.67027316742188,0.184,0.071,0.0000000062083727889872,"B cells","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.0000000000000000000000000000000000000000000000934745506931428,1.50816695706054,0.87,0.782,0.00000000000000000000000000000000000000000342126202991972,"B cells","Healthy_vs_AChR_MG","Upregulated"
"SNX9",0.00000000579685055356879,1.03809270909189,0.277,0.167,0.000212170527111171,"B cells","Healthy_vs_AChR_MG","Upregulated"
"PELI1",0.00000000000109617303782087,1.02885103203535,0.367,0.224,0.0000000401210293572816,"B cells","Healthy_vs_AChR_MG","Upregulated"
"CD83",0.000000000000000000000000000152173996016762,0.979742384406787,0.665,0.445,0.00000000000000000000000556972042820951,"B cells","Healthy_vs_AChR_MG","Upregulated"
"ARHGAP24",0.00000000123440716471406,0.939633194307666,0.307,0.189,0.0000451805366356993,"B cells","Healthy_vs_AChR_MG","Upregulated"
"BACH1",0.000000230565374366187,0.814671070448622,0.319,0.218,0.00843892326717681,"B cells","Healthy_vs_AChR_MG","Upregulated"
"NFKBID",0.000000994381023688781,0.593112324877033,0.351,0.248,0.0363953398480331,"B cells","Healthy_vs_AChR_MG","Upregulated"
"JUND",0.00000000000000000000000000937758642634427,0.533134843188312,0.979,0.968,0.000000000000000000000343229040790627,"B cells","Healthy_vs_AChR_MG","Upregulated"
"IFI44L",0.000000135392041466043,2.33584038838961,0.137,0.037,0.00495548410969865,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"AREG",0.000000000000000935630749244568,1.82312528661267,0.471,0.229,0.0000000000342450210531004,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"IRS2",0.0000000000223545376369278,1.36191870375631,0.441,0.24,0.000000818198432049196,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"ACOX1",0.00000000281563225728215,0.867577690299847,0.507,0.316,0.000103054956248784,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"TXNIP",0.000000000161626792616654,0.745706629635325,0.826,0.677,0.00000591570223656214,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.000000000000000000000000000000000000000000000000000000000000000000000000000000467661849994453,1.97688728354169,0.942,0.904,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,"CD4 T cells","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.00000000000000000000000000017036821222708,1.36598647394616,0.936,0.896,0.00000000000000000000000623564693572335,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"TNFAIP3",0.0000000000000653872327372372,0.987196384204398,0.489,0.309,0.00000000239323810541562,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"FBXO32",0.0000000623918813167372,0.895272423049104,0.331,0.212,0.0022836052480739,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"DYNLT1",0.000000907608576635341,0.750482412234489,0.306,0.197,0.0332193815134301,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"CTSW",0.000000189074928473141,0.660051562684875,0.394,0.269,0.00692033145704545,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"NFKBIA",0.00000103717593375236,0.55222575106744,0.631,0.548,0.0379616763512702,"CD8 T cells","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.000000000000000000000000000000000000000000000000000000000000000000352944681166453,1.1204444897857,0.988,0.99,0.0000000000000000000000000000000000000000000000000000000000000129181282753734,"Dendritic cells","Healthy_vs_AChR_MG","Upregulated"
"PIK3R1",0.0000000593573256442555,0.506491110219394,0.712,0.659,0.00217253747590539,"Dendritic cells","Healthy_vs_AChR_MG","Upregulated"
"MYL4",0.00000000000000700165854402016,6.38429876505954,0.111,0.011,0.000000000256267704369682,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
"AC020656.1",0.00000001342535092346,0.886649583033705,0.66,0.643,0.000491381269149559,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
