"Field","Value"
"Analysis","MG cell-type directional transcriptional analysis"
"Adjusted P threshold","0.05"
"Absolute average log2FC threshold","0.5"
"Significant DEG entries","1021"
"Unique significant genes","598"
"Number of cell types","10"
"Cell types","B cells; Basophils; CD4 T cells; CD8 T cells; Dendritic cells; Monocytes; Neutrophils; NK cells; Progenitors; T cells"
"Number of comparisons","3"
"Comparisons","Healthy_vs_AChR_MG; Healthy_vs_SNMG_Pre; SNMG_Pre_vs_SNMG_Post"
"Net direction score","(Upregulated - Downregulated) / Total significant DEGs"
"Perturbation score","log(1 + significant DEG count) x mean absolute log2FC"
"AChR interpretation","AChR-positive status is treated as autoantibody status, not receptor overexpression"
"MuSK interpretation","MuSK-positive status is treated as autoantibody status, not MUSK overexpression"
