"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.28288262591167,0.723,0.1,0,"Monocytes","FCN1"
0,1.45069252433971,0.822,0.206,0,"Monocytes","CST3"
0,4.90598155053154,0.681,0.086,0,"Monocytes","VCAN"
0,3.7677947382264,0.692,0.104,0,"Monocytes","CD68"
0,3.51366083149273,0.637,0.066,0,"Monocytes","CD14"
0,2.99103358435538,0.72,0.15,0,"Monocytes","LGALS3"
0,3.13166721407981,0.664,0.095,0,"Monocytes","CSTA"
0,3.6282136051915,0.69,0.124,0,"Monocytes","AC020656.1"
0,2.77611480216431,0.72,0.173,0,"Monocytes","IFI30"
0,3.69452792229672,0.614,0.068,0,"Monocytes","S100A12"
0,0.894881647665665,0.658,0.116,0,"Monocytes","SLC11A1"
0,3.41513421834137,0.76,0.219,0,"Monocytes","LYZ"
0,3.65011368110034,0.705,0.166,0,"Monocytes","CYBB"
0,2.58561175507212,0.638,0.101,0,"Monocytes","MS4A6A"
0,1.52386294788267,0.67,0.134,0,"Monocytes","SERPINA1"
0,5.12344276726877,0.549,0.029,0,"Monocytes","MAFB"
0,2.03706236679161,0.606,0.09,0,"Monocytes","CFD"
0,1.53301920968176,0.677,0.162,0,"Monocytes","NCF2"
0,2.39236226236964,0.671,0.157,0,"Monocytes","MPEG1"
0,2.33903229119055,0.705,0.194,0,"Monocytes","FGL2"
0,1.15407278673506,0.659,0.157,0,"Monocytes","CLEC7A"
0,3.06181932110619,0.641,0.144,0,"Monocytes","BLVRB"
0,4.15659488504869,0.539,0.043,0,"Monocytes","SLC7A7"
0,1.70525622226725,0.604,0.109,0,"Monocytes","CPVL"
0,2.1845517222518,0.594,0.1,0,"Monocytes","CLEC12A"
0,2.33169940894073,0.643,0.152,0,"Monocytes","CD302"
0,3.0685585743414,0.609,0.118,0,"Monocytes","KCTD12"
0,0.739664738636768,0.588,0.099,0,"Monocytes","C5AR1"
0,2.45130336922318,0.716,0.228,0,"Monocytes","S100A8"
0,2.56462934076021,0.656,0.171,0,"Monocytes","CTSB"
0,0.271209542399111,0.635,0.151,0,"Monocytes","FPR1"
0,2.12589975978398,0.679,0.197,0,"Monocytes","GRN"
0,0.669723308581248,0.703,0.221,0,"Monocytes","MNDA"
0,2.10098423131004,0.57,0.089,0,"Monocytes","CD93"
0,1.70139997198728,0.582,0.103,0,"Monocytes","IRAK3"
0,3.71924295172004,0.558,0.085,0,"Monocytes","CD36"
0,2.85671593207582,0.79,0.317,0,"Monocytes","NCOA4"
0,1.23997861769627,0.661,0.188,0,"Monocytes","RAB31"
0,1.79963548037547,0.788,0.318,0,"Monocytes","FCER1G"
0,1.99396725253523,0.702,0.233,0,"Monocytes","TYMP"
0,2.31403426071645,0.575,0.108,0,"Monocytes","PLXDC2"
0,2.41513552598705,0.638,0.174,0,"Monocytes","STXBP2"
0,1.80438722574041,0.631,0.169,0,"Monocytes","FGR"
0,2.31708828692747,0.576,0.115,0,"Monocytes","CFP"
0,2.62744230721294,0.51,0.056,0,"Monocytes","DMXL2"
0,4.27243384529354,0.631,0.178,0,"Monocytes","NRGN"
0,4.16283607600881,0.504,0.051,0,"Monocytes","LRP1"
0,2.32511237832559,0.572,0.119,0,"Monocytes","STX11"
0,1.89227453272399,0.725,0.273,0,"Monocytes","LST1"
0,1.71149309393592,0.601,0.15,0,"Monocytes","TNFSF13B"
0,2.01262838507457,0.535,0.088,0,"Monocytes","LILRB2"
0,2.35359436083926,0.746,0.301,0,"Monocytes","AP1S2"
0,2.80241727402648,0.763,0.321,0,"Monocytes","S100A9"
0,2.48672222051636,0.712,0.27,0,"Monocytes","TIMP1"
0,1.68406645933941,0.703,0.262,0,"Monocytes","CEBPD"
0,3.29180217719709,0.555,0.115,0,"Monocytes","RAB32"
0,3.45530295059299,0.694,0.257,0,"Monocytes","LIMS1"
0,0.686878945482002,0.569,0.133,0,"Monocytes","LRRK2"
0,2.90085532439713,0.52,0.085,0,"Monocytes","PLBD1"
0,2.59189135286822,0.56,0.128,0,"Monocytes","ALDH2"
0,0.904348293442579,0.543,0.112,0,"Monocytes","FCGR2A"
0,1.21724019594463,0.619,0.189,0,"Monocytes","SPI1"
0,4.17682363863218,0.439,0.012,0,"Monocytes","RBP7"
0,1.49266700907432,0.562,0.137,0,"Monocytes","MEGF9"
0,2.6410469898427,0.534,0.11,0,"Monocytes","TGFBI"
0,0.563289071490958,0.546,0.122,0,"Monocytes","LILRB3"
0,1.5960158434122,0.841,0.417,0,"Monocytes","TALDO1"
0,1.80273136531694,0.681,0.258,0,"Monocytes","YBX3"
0,4.12032205870156,0.488,0.066,0,"Monocytes","MS4A7"
0,1.37962948951889,0.662,0.241,0,"Monocytes","RNF130"
0,3.09279500596876,0.476,0.057,0,"Monocytes","LILRA5"
0,4.08531766701396,0.472,0.055,0,"Monocytes","CD163"
0,2.09840100327087,0.514,0.098,0,"Monocytes","GAS7"
0,1.12341214460742,0.547,0.134,0,"Monocytes","IGSF6"
0,2.4737447489358,0.435,0.023,0,"Monocytes","CDA"
0,1.21232447265602,0.517,0.106,0,"Monocytes","TNFAIP2"
0,4.53609615628026,0.448,0.037,0,"Monocytes","CD300E"
0,2.42145853916627,0.596,0.185,0,"Monocytes","ADA2"
0,0.5025755644606,0.5,0.093,0,"Monocytes","TLR4"
0,3.67448835037758,0.501,0.095,0,"Monocytes","MPP1"
0,2.00637219297957,0.652,0.248,0,"Monocytes","CTSD"
0,1.7610105252647,0.511,0.107,0,"Monocytes","TIMP2"
0,1.40377261742445,0.586,0.182,0,"Monocytes","PECAM1"
0,1.66092548182652,0.704,0.301,0,"Monocytes","FOS"
0,1.42904522360994,0.51,0.108,0,"Monocytes","HCK"
0,3.32532621999296,0.547,0.145,0,"Monocytes","CTSA"
0,5.2438069757135,0.431,0.032,0,"Monocytes","THBS1"
0,2.69375216116914,0.463,0.065,0,"Monocytes","JDP2"
0,1.43849987821775,0.48,0.082,0,"Monocytes","RXRA"
0,2.22462292116495,0.694,0.296,0,"Monocytes","APLP2"
0,1.16248871573854,0.753,0.356,0,"Monocytes","ASAH1"
0,0.979559500850731,0.532,0.135,0,"Monocytes","PLAUR"
0,1.4387789121174,0.636,0.242,0,"Monocytes","RTN3"
0,3.05209208335121,0.467,0.073,0,"Monocytes","C19orf38"
0,1.53031660684518,0.48,0.089,0,"Monocytes","PILRA"
0,2.28744983912185,0.734,0.345,0,"Monocytes","PKM"
0,1.78956347597257,0.675,0.287,0,"Monocytes","ANXA5"
0,1.1824769919795,0.547,0.162,0,"Monocytes","PGD"
0,2.04147644313543,0.527,0.143,0,"Monocytes","DPYD"
0,1.77984615981586,0.556,0.173,0,"Monocytes","CTSH"
0,2.98631190444996,0.453,0.07,0,"Monocytes","TMEM170B"
0,2.90120028352796,0.692,0.309,0,"Monocytes","GSTO1"
0,2.39859287162982,0.451,0.069,0,"Monocytes","IER3"
0,2.23049265610653,0.542,0.164,0,"Monocytes","MFSD1"
0,0.539459301581353,0.553,0.176,0,"Monocytes","CPPED1"
0,1.99718149983002,0.766,0.389,0,"Monocytes","FKBP1A"
0,1.50051245383353,0.664,0.292,0,"Monocytes","BNIP3L"
0,2.21696738508078,0.662,0.291,0,"Monocytes","PLEKHO1"
0,2.10096609855846,0.73,0.359,0,"Monocytes","AIF1"
0,1.76731665033647,0.535,0.164,0,"Monocytes","NUP214"
0,1.69597047143621,0.523,0.152,0,"Monocytes","IFNGR2"
0,2.77577340010971,0.779,0.409,0,"Monocytes","PSAP"
0,1.48998531264351,0.485,0.116,0,"Monocytes","TBXAS1"
0,2.24281864671901,0.466,0.097,0,"Monocytes","GNS"
0,1.77100633342017,0.745,0.376,0,"Monocytes","TYROBP"
0,2.127966559941,0.462,0.093,0,"Monocytes","LGALS2"
0,1.20221856428163,0.62,0.252,0,"Monocytes","FCGRT"
0,1.34660914400812,0.414,0.048,0,"Monocytes","CLEC4E"
0,2.25078227337514,0.505,0.14,0,"Monocytes","KLF10"
0,0.921725114777152,0.658,0.297,0,"Monocytes","TNFRSF1B"
0,1.03694879234877,0.549,0.189,0,"Monocytes","CCDC88A"
0,1.24040862928422,0.658,0.298,0,"Monocytes","ANXA2"
0,1.73855454534757,0.677,0.317,0,"Monocytes","RIOK3"
0,1.64338181417234,0.519,0.159,0,"Monocytes","AGTRAP"
0,0.800492707641114,0.591,0.231,0,"Monocytes","OGFRL1"
0,3.05139960346761,0.437,0.078,0,"Monocytes","ZNF385A"
0,2.23417582274649,0.465,0.108,0,"Monocytes","GRINA"
0,0.635039300320838,0.467,0.11,0,"Monocytes","DUSP6"
0,1.63402193724539,0.547,0.191,0,"Monocytes","PPT1"
0,1.34634998284947,0.423,0.067,0,"Monocytes","CCR1"
0,2.43335948846587,0.498,0.142,0,"Monocytes","AHR"
0,2.3001609213785,0.458,0.103,0,"Monocytes","CREG1"
0,0.813766845659156,0.531,0.176,0,"Monocytes","MARCKS"
0,0.708005272661013,0.536,0.181,0,"Monocytes","IL17RA"
0,1.58804501455119,0.551,0.199,0,"Monocytes","ZYX"
0,1.95264819416279,0.444,0.092,0,"Monocytes","EMILIN2"
0,2.201721866801,0.484,0.133,0,"Monocytes","SCPEP1"
0,1.43962155316735,0.717,0.367,0,"Monocytes","LGALS1"
0,0.95039012634414,0.685,0.336,0,"Monocytes","VSIR"
0,1.15638627017991,0.491,0.143,0,"Monocytes","ETS2"
0,4.34576045445574,0.385,0.038,0,"Monocytes","ASGR1"
0,2.83921610206396,0.398,0.051,0,"Monocytes","PRAM1"
0,1.78893847007658,0.811,0.465,0,"Monocytes","COTL1"
0,1.71810124307122,0.538,0.193,0,"Monocytes","MARCH1"
0,0.96991913623013,0.452,0.107,0,"Monocytes","SLC43A2"
0,1.71210398727159,0.53,0.186,0,"Monocytes","DPYSL2"
0,1.31679887137609,0.456,0.112,0,"Monocytes","ITGAM"
0,1.11138586053083,0.556,0.213,0,"Monocytes","MYADM"
0,1.68534683796118,0.424,0.081,0,"Monocytes","LRRC25"
0,1.70920683330881,0.571,0.229,0,"Monocytes","TPP1"
0,2.65971298801101,0.642,0.301,0,"Monocytes","FERMT3"
0,1.50761845850259,0.534,0.193,0,"Monocytes","ATP2B1-AS1"
0,1.5899982576504,0.699,0.359,0,"Monocytes","ZEB2"
0,1.05647632435157,0.553,0.214,0,"Monocytes","SNX10"
0,1.48503309864678,0.608,0.269,0,"Monocytes","ZFAND5"
0,1.55317395863662,0.684,0.346,0,"Monocytes","CAPZA2"
0,1.6288098174991,0.414,0.077,0,"Monocytes","AC090559.1"
0,5.8293875382623,0.342,0.006,0,"Monocytes","CYP1B1"
0,2.86133621120488,0.375,0.039,0,"Monocytes","BST1"
0,1.07224262305183,0.569,0.234,0,"Monocytes","SLC2A3"
0,1.04242539356133,0.58,0.245,0,"Monocytes","RILPL2"
0,3.15507570854751,0.562,0.228,0,"Monocytes","VCL"
