"Gene","CellTypes","Comparisons","Occurrences","Mean_Log2FC","Mean_Abs_Log2FC","MinPadj",".Direction"
"TNFAIP3",10,3,27,0.0233222330291179,0.791551298602689,0.000000000000000239822830914635,"drop"
"FKBP5",10,3,25,-0.66041068351414,1.03877333984472,0.00000000000000000000000000000000000000000000000000000000634309470103281,"drop"
"HBA2",10,3,23,-0.30265960295805,0.992570003701133,0.00000000000969477140141126,"drop"
"AREG",10,3,22,-0.144818446132134,1.39170839612635,0.0000000000000000000000000000000000000000000000217111239465205,"drop"
"YPEL5",10,3,22,0.0218600517122127,0.644192647766968,0.0050126815450611,"drop"
"SMAP2",10,3,22,-0.301064844261056,0.435088511372857,0.000000000000000173717509876733,"drop"
"FOS",10,3,21,-0.534410821049502,1.35408724433569,0.0000000000000000000343682410411232,"drop"
"HBB",10,3,21,-0.275299601839046,0.973800444792488,0.0000000000000000000000000000000000000000823971234519952,"drop"
"EIF2AK2",10,3,21,0.43364853055971,0.689151331495717,0.000000000000858835905976612,"drop"
"RPS26",10,3,20,0.946224638704183,0.994942523710379,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,"drop"
"MTRNR2L1",10,3,20,-0.880737502249646,0.981145052198812,0.00000000000730467449215235,"drop"
"KLF6",10,3,20,-0.0666850650095411,0.760722818148308,0.000000223590057603263,"drop"
"DDIT4",10,3,20,-0.371517626141538,0.679515187196854,0.000000000000000000232869771331301,"drop"
"S100A9",10,3,20,-0.472836821251734,0.57805866424079,0.0780748446580343,"drop"
"IGKC",10,3,19,-0.482726228623517,0.866325220138904,0.0000121811338976307,"drop"
"EPSTI1",10,3,19,0.377996352225399,0.848885992561042,0.00000000210010493950864,"drop"
"ZFP36",10,3,19,0.000510661810741126,0.727500095197186,0.00000000000000819483161003276,"drop"
"TAGAP",10,3,19,-0.179928445583544,0.588018583887467,0.0000000746385948857712,"drop"
"JUNB",10,3,19,0.149094253798103,0.522278678790828,0.0000000000041899706629339,"drop"
"NFE2L2",10,3,19,0.182764425214342,0.360973921953059,0.145634186475615,"drop"
"ZBTB16",10,3,18,-1.12456538951316,1.30409511668611,0.00000000000000000000000000000000000019020362682923,"drop"
