"Cluster","Predicted_Cell_Type","Delta_Score"
"g1","CD4+ T cells",0.118416302825246
"g2","NK cells",0.102378971437563
"g3","CD4+ T cells",0.0695570048297442
"g4","Monocytes",0.233599462407141
"g5","T cells",0.023157393718692
"g6","B cells",0.139201891253004
"g7","CD8+ T cells",0.229613890128619
"g8","Monocytes",0.218101187749452
"g9","B cells",0.130350560949721
"g10","Monocytes",0.0101102722304047
"g11","T cells",0.067042932038263
"g12","T cells",0.135796641572902
"g13","NK cells",0.0597141216659166
"g14","CD4+ T cells",0.093643606740996
"g15","CD4+ T cells",0.110142938090861
"g16","Monocytes",0.228121436036415
"g17","NK cells",0.296918704177867
"g18","Monocytes",0.0725605866597645
"g19","NK cells",0.256220402518232
"g20","Monocytes",0.051505864429052
"g21","Neutrophils",0.0610476752005317
"g22","Monocytes",0.133432819969842
"g23","NK cells",0.190844648507771
"g24","NK cells",0.204736968176713
"g25","NK cells",0.0623913248401367
"g26","Dendritic cells",0.066267118531126
"g27","NK cells",0.0979832919441143
"g28","Basophils",0.131326242147875
"g29","NK cells",0.239028313436218
"g30","B cells",0.199003243375239
"g31","Dendritic cells",0.129501844380486
"g32","Monocytes",0.0615830115168944
"g33","Progenitors",0.181836649586051
"g34","B cells",0.123828488885303
