"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.8293875382623,0.342,0.006,0,"Monocytes","CYP1B1"
0,5.41210103972759,0.326,0.013,0,"Monocytes","TMEM176B"
0,5.2438069757135,0.431,0.032,0,"Monocytes","THBS1"
0,5.12344276726877,0.549,0.029,0,"Monocytes","MAFB"
0,5.0778111960425,0.334,0.02,0,"Monocytes","GASK1B"
0,5.02972844786976,0.682,0.028,0,"CD8+ T cells","LINC02446"
0,3.7361294315334,0.272,0.022,0,"CD8+ T cells","LRRN3"
0,3.70741593196371,0.474,0.039,0,"CD8+ T cells","NELL2"
0,3.61081144276623,0.94,0.092,0,"CD8+ T cells","CD8B"
0,2.67510550536063,0.291,0.048,0,"CD8+ T cells","PASK"
0,2.84619685277092,0.623,0.116,0,"CD4+ T cells","MAL"
0,2.58065457727008,0.364,0.079,0,"CD4+ T cells","INPP4B"
0,2.49719972458018,0.359,0.081,0,"CD4+ T cells","AQP3"
0,2.42629266923497,0.478,0.09,0,"CD4+ T cells","TRAT1"
4.9682931013465e-304,2.3092366950849,0.255,0.059,1.81844495802383e-299,"CD4+ T cells","LINC02273"
0,11.9566930539924,0.59,0.002,0,"Basophils","AKAP12"
0,11.7174039564651,0.581,0.003,0,"Basophils","CLC"
0,10.8962832487962,0.324,0.001,0,"Basophils","CACNG8"
0,10.2172602424348,0.275,0.002,0,"Basophils","IL1RL1"
0,10.1900805974407,0.308,0.002,0,"Basophils","ITGB8"
0,5.63440701039363,0.374,0.011,0,"NK cells","SH2D1B"
0,4.94438335990615,0.794,0.058,0,"NK cells","KLRF1"
0,4.79910924466747,0.453,0.042,0,"NK cells","MYOM2"
0,4.64714932166871,0.381,0.026,0,"NK cells","CD160"
0,4.39036656322975,0.714,0.082,0,"NK cells","SPON2"
0,7.32850992715325,0.397,0.025,0,"B cells","IGLC3"
0,7.12939183397325,0.578,0.009,0,"B cells","VPREB3"
0,6.93099884596954,0.507,0.05,0,"B cells","IGLC2"
0,6.90756847729567,0.257,0.004,0,"B cells","LINC01781"
0,6.88265068084497,0.337,0.005,0,"B cells","EBF1"
0,4.21239937792044,0.564,0.052,0,"T cells","TRGC2"
0,4.1434762607497,0.521,0.05,0,"T cells","GZMK"
0,2.99834401491775,0.612,0.089,0,"T cells","KLRG1"
0,2.89600433364828,0.554,0.09,0,"T cells","LINC01871"
0,2.82899402595714,0.76,0.192,0,"T cells","LYAR"
0,11.6837069052282,0.268,0,0,"Dendritic cells","SCT"
0,8.73937227466807,0.306,0.002,0,"Dendritic cells","LILRA4"
0,8.17971328659325,0.497,0.002,0,"Dendritic cells","ENHO"
0,7.4658743294252,0.437,0.003,0,"Dendritic cells","GAS6"
0,7.25442168796852,0.273,0.001,0,"Dendritic cells","CLEC4C"
0,11.9421169586143,0.28,0,0,"Progenitors","MYCN"
0,11.5473152518269,0.408,0,0,"Progenitors","CRYGD"
0,10.6407917652715,0.52,0,0,"Progenitors","LINC02573"
0,10.50179318865,0.282,0,0,"Progenitors","PROM1"
0,9.7170630091187,0.552,0,0,"Progenitors","EMID1"
0,11.3876698541882,0.63,0.003,0,"Neutrophils","FCGR3B"
0,7.99797112936907,0.497,0.015,0,"Neutrophils","CXCR2"
0,7.67973636924245,0.345,0.009,0,"Neutrophils","CMTM2"
0,7.4107552794008,0.282,0.006,0,"Neutrophils","CYP4F3"
0,7.22337007460156,0.252,0.011,0,"Neutrophils","MME"
