"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"FOSB",0.00000000000000000000000000000000000000000105188857680581,-6.14574021499246,0.011,0.238,0.0000000000000000000000000000000000000385001737996695,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.0000000000000000000000159769916872258,-4.47520893024785,0.012,0.15,0.000000000000000000584773872744152,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.00000000000088375039939166,3.34485548723231,0.15,0.034,0.0000000323461483681341,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"FOS",0.0000000000000620230270582691,-3.16213375183204,0.137,0.279,0.00000000227010481335971,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"LMNA",0.000000000000915824555624562,-2.98564304236436,0.019,0.106,0.0000000335200945604146,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.000000000000195722174222829,2.63129884289454,0.238,0.092,0.00000000716362729872976,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"IGHG4",0.0000000900706901177498,-2.56623044912162,0.063,0.15,0.00329667732899976,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"MYADM",0.0000000000000000283965930559827,-2.55698171769847,0.051,0.19,0.00000000000103934370244202,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGHG4",0.217092345357606,2.50142644116484,0.15,0.124,1,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"FOS",0.00000140860876259727,2.44576352126704,0.279,0.186,0.0515564893198227,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A1",0.00000140204733676421,2.43962157612248,0.105,0.035,0.0513163345729068,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"FKBP5",0.000000000000000000000000000000000313791059641061,-2.39096349792167,0.073,0.324,0.0000000000000000000000000000114850665739225,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"NR4A2",0.000000000694181235846599,2.38963974139439,0.219,0.099,0.0000254077274132214,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CDKN1A",0.00000000113651113770739,2.36207196763858,0.147,0.045,0.0000415974441512283,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"WEE1",0.00000000000000000000488946145353514,-2.21432622540732,0.059,0.229,0.00000000000000017895917866084,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"CAVIN2",0.00000419301081454065,2.18247741706189,0.14,0.068,0.153468388823002,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"IGHA2",0.0000000000000748123574383379,-2.12385189269378,0.072,0.201,0.00000000273820709460061,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"FAM111B",0.000000000227894954405051,2.10871225304987,0.174,0.066,0.00000834118322617928,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"LMNA",0.0000346972342894133,2.0985742694999,0.106,0.045,1,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"MIDN",0.000000000000000066473314058228,-2.09533052870504,0.074,0.225,0.0000000000024329897678452,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"IFI44L",0.00000000000727920126190347,5.43593936105032,0.137,0.01,0.000000266426045386929,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.0000000853777525872044,4.03748127939794,0.137,0.033,0.00312491112244427,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.00000000213670514864519,4.03041392890101,0.113,0.01,0.0000782055451455627,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"RSAD2",0.00000000566115540827671,3.65688223880171,0.103,0.008,0.000207203949098336,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"MX2",0.000000000000436497595208538,3.50183583150194,0.186,0.028,0.0000000159762484822277,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"ZBTB16",0.000000000550769890635462,-2.56829449907208,0.076,0.228,0.0000201587287671486,"Basophils","Healthy_vs_SNMG_Pre","Downregulated"
"HBA1",0.00216067672858421,2.52160957011578,0.044,0.102,1,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"HBA2",0.000170776331648092,2.35059813628924,0.113,0.21,1,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44L",0.000000135392041466043,2.33584038838961,0.137,0.037,0.00495548410969865,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"RSAD2",0.0000540254184940445,2.29790094996873,0.103,0.034,1,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"PTGDR2",0.00000287995034178016,-2.12054503886664,0.059,0.159,0.105409062459496,"Basophils","Healthy_vs_SNMG_Pre","Downregulated"
"PSMC2",0.00158489179005316,-2.10618242518955,0.044,0.1,1,"Basophils","Healthy_vs_SNMG_Pre","Downregulated"
"XAF1",0.0000000000000633503811415005,1.92691970810749,0.309,0.097,0.00000000231868730016006,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.00000140488158203109,1.90775890793329,0.186,0.074,0.0514200707839198,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"FKBP5",0.000000000122364299607742,-1.89409031998492,0.147,0.327,0.00000447865572994295,"Basophils","Healthy_vs_SNMG_Pre","Downregulated"
"HLA-DPA1",0.000192745436197392,1.84710309421402,0.125,0.051,1,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"AREG",0.000000000000000935630749244568,1.82312528661267,0.471,0.229,0.0000000000342450210531004,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"C5orf56",0.0052124349859662,1.79147333063281,0.118,0.064,1,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"PARP9",0.000256002863865712,1.72075849876941,0.105,0.038,1,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"PDE3B",0.000227727769309799,-1.64978192766397,0.113,0.198,1,"Basophils","SNMG_Pre_vs_SNMG_Post","Downregulated"
"FOSB",0.0000000000000000000000000846506960044806,-5.17225205991058,0.012,0.167,0.00000000000000000000309830012445999,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOS",0.000000000000000000299351626975664,-3.12854717833595,0.092,0.26,0.0000000000000109565688989363,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"PPP1R15A",0.0000000000000118986965463392,-2.94094778284452,0.067,0.197,0.000000000435504192292563,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"NR4A2",0.0000000000168570502602817,-2.8107819507816,0.042,0.14,0.000000616984896576571,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.0000000000000340421858712044,-2.76340151719284,0.159,0.303,0.00000000124597804507195,"CD4 T cells","Healthy_vs_SNMG_Pre","Downregulated"
